Freq (MHz),re(S11),im(S11),re(Z),im(Z)
18.250,-0.25384,0.54281,17.167,29.078
18.300,-0.24523,0.54767,17.290,29.595
18.350,-0.23841,0.55510,17.239,30.139
18.400,-0.23302,0.56509,17.024,30.717
18.450,-0.22901,0.57369,16.809,31.186
18.500,-0.21853,0.57599,17.078,31.708
18.550,-0.20951,0.57949,17.243,32.217
18.600,-0.20430,0.58668,17.109,32.693
18.650,-0.20206,0.59570,16.788,33.098
18.700,-0.19336,0.60422,16.698,33.770
18.750,-0.18398,0.60601,16.927,34.256
18.800,-0.17540,0.60858,17.092,34.738
18.850,-0.17021,0.61721,16.856,35.263
18.900,-0.16633,0.62564,16.581,35.715
18.950,-0.15704,0.62894,16.715,36.265
19.000,-0.14905,0.63003,16.912,36.688
19.050,-0.14089,0.63621,16.860,37.284
19.100,-0.13630,0.64416,16.601,37.756
19.150,-0.12983,0.65228,16.383,38.325
19.200,-0.12077,0.65269,16.628,38.801
19.250,-0.11393,0.65102,16.916,39.108
19.300,-0.10700,0.66016,16.636,39.739
19.350,-0.10046,0.67141,16.221,40.402
19.400,-0.09458,0.67171,16.366,40.727
19.450,-0.08522,0.67032,16.699,41.199
19.500,-0.07947,0.67187,16.771,41.559
19.550,-0.07319,0.68120,16.420,42.159
19.600,-0.06374,0.69295,16.000,42.994
19.650,-0.05761,0.69008,16.318,43.272
19.700,-0.05226,0.68673,16.648,43.496
19.750,-0.04475,0.69205,16.526,44.068
19.800,-0.03768,0.70179,16.124,44.720
19.850,-0.02823,0.70750,16.005,45.416
19.900,-0.02290,0.70383,16.349,45.653
19.950,-0.01744,0.70491,16.409,46.010
20.000,-0.00918,0.71046,16.254,46.643
20.050,-0.00086,0.71938,15.880,47.352
20.100,0.00566,0.71751,16.133,47.721
20.150,0.01043,0.71610,16.323,47.995
20.200,0.01553,0.71729,16.353,48.345
20.250,0.02711,0.72548,16.056,49.258
20.300,0.03599,0.73222,15.782,49.965
20.350,0.03835,0.72756,16.133,50.034
20.400,0.04084,0.72622,16.268,50.175
20.450,0.05064,0.73069,16.148,50.912
20.500,0.06062,0.73830,15.805,51.719
20.550,0.07027,0.74046,15.813,52.415
20.600,0.07175,0.73688,16.084,52.461
20.650,0.07349,0.73638,16.147,52.573
20.700,0.08597,0.74144,15.986,53.527
20.750,0.09667,0.74795,15.676,54.379
20.800,0.09969,0.74571,15.878,54.565
20.850,0.10323,0.74437,16.023,54.802
20.900,0.10975,0.74613,15.981,55.300
20.950,0.11907,0.75045,15.779,56.037
21.000,0.13017,0.75386,15.652,56.899
21.050,0.13063,0.75049,15.909,56.896
21.100,0.13139,0.75018,15.941,56.950
21.150,0.14280,0.75307,15.842,57.844
21.200,0.15476,0.75698,15.652,58.797
21.250,0.16038,0.75651,15.736,59.229
21.300,0.15862,0.75461,15.869,59.076
21.350,0.16266,0.75503,15.869,59.395
21.400,0.17557,0.75839,15.700,60.437
21.450,0.18848,0.75971,15.672,61.479
21.500,0.18956,0.75907,15.729,61.563
21.550,0.18828,0.75830,15.785,61.455
21.600,0.19660,0.75928,15.747,62.136
21.650,0.20712,0.76013,15.720,63.005
21.700,0.21632,0.75996,15.762,63.771
