Freq (MHz),re(S11),im(S11),re(Z),im(Z)
19.400,-0.68430,0.69166,0.805,20.863
19.450,-0.68314,0.69422,0.775,20.942
19.500,-0.68236,0.69487,0.778,20.973
19.550,-0.68015,0.69664,0.787,21.058
19.600,-0.67917,0.69773,0.785,21.102
19.650,-0.67800,0.69764,0.812,21.125
19.700,-0.67677,0.70046,0.777,21.212
19.750,-0.67483,0.70020,0.824,21.248
19.800,-0.67500,0.70204,0.781,21.284
19.850,-0.67267,0.70341,0.801,21.363
19.900,-0.67062,0.70379,0.836,21.416
19.950,-0.67102,0.70542,0.792,21.442
20.000,-0.66826,0.70674,0.822,21.530
20.050,-0.66818,0.71002,0.752,21.601
20.100,-0.66544,0.70880,0.836,21.636
20.150,-0.66445,0.71174,0.793,21.720
20.200,-0.66363,0.71200,0.804,21.743
20.250,-0.66188,0.71321,0.814,21.807
20.300,-0.66000,0.71338,0.850,21.853
20.350,-0.65933,0.71508,0.826,21.903
20.400,-0.65931,0.71622,0.801,21.928
20.450,-0.65695,0.71829,0.805,22.024
20.500,-0.65545,0.71844,0.832,22.061
20.550,-0.65438,0.71964,0.828,22.110
20.600,-0.65225,0.72147,0.831,22.196
20.650,-0.65160,0.72274,0.816,22.237
20.700,-0.64954,0.72352,0.842,22.300
20.750,-0.64927,0.72520,0.809,22.341
20.800,-0.64719,0.72552,0.845,22.395
20.850,-0.64631,0.72782,0.811,22.463
20.900,-0.64519,0.72821,0.826,22.497
20.950,-0.64426,0.72972,0.810,22.549
21.000,-0.64320,0.73036,0.817,22.587
21.050,-0.64054,0.73116,0.854,22.665
21.100,-0.63925,0.73277,0.844,22.728
21.150,-0.63803,0.73419,0.836,22.786
21.200,-0.63848,0.73550,0.797,22.802
21.250,-0.63527,0.73588,0.854,22.885
21.300,-0.63364,0.73753,0.849,22.957
21.350,-0.63287,0.73837,0.845,22.992
21.400,-0.63137,0.73874,0.867,23.035
21.450,-0.63025,0.74121,0.832,23.111
21.500,-0.62851,0.74170,0.856,23.163
21.550,-0.62717,0.74294,0.855,23.220
21.600,-0.62661,0.74414,0.838,23.257
21.650,-0.62493,0.74444,0.865,23.303
21.700,-0.62376,0.74676,0.834,23.378
21.750,-0.62138,0.74758,0.863,23.452
21.800,-0.62090,0.74799,0.863,23.472
21.850,-0.61955,0.74852,0.878,23.515
21.900,-0.61839,0.75094,0.843,23.592
21.950,-0.61678,0.75104,0.873,23.632
22.000,-0.61556,0.75161,0.884,23.673
22.050,-0.61445,0.75260,0.883,23.720
22.100,-0.61256,0.75470,0.871,23.808
22.150,-0.61187,0.75646,0.842,23.860
22.200,-0.61027,0.75615,0.882,23.893
22.250,-0.60800,0.75783,0.887,23.982
22.300,-0.60756,0.75887,0.870,24.014
22.350,-0.60572,0.75859,0.914,24.053
22.400,-0.60458,0.76230,0.846,24.156
22.450,-0.60205,0.76255,0.890,24.223
22.500,-0.60148,0.76346,0.879,24.255
22.550,-0.60042,0.76400,0.887,24.292
22.600,-0.59959,0.76446,0.892,24.322
22.650,-0.59753,0.76587,0.899,24.401
22.700,-0.59592,0.76775,0.884,24.479
22.750,-0.59546,0.76974,0.843,24.530
22.800,-0.59385,0.76929,0.887,24.561
22.850,-0.59176,0.77010,0.908,24.629
22.900,-0.59102,0.77159,0.885,24.677
22.950,-0.58997,0.77231,0.888,24.718
23.000,-0.58790,0.77417,0.882,24.807
23.050,-0.58656,0.77542,0.877,24.865
23.100,-0.58558,0.77537,0.897,24.889
23.150,-0.58361,0.77671,0.902,24.966
23.200,-0.58199,0.77849,0.888,25.042
23.250,-0.58233,0.77834,0.886,25.030
23.300,-0.57948,0.77945,0.913,25.125
23.350,-0.57826,0.78100,0.897,25.187
23.400,-0.57686,0.78248,0.887,25.251
23.450,-0.57718,0.78201,0.892,25.234
23.500,-0.57435,0.78302,0.922,25.326
23.550,-0.57387,0.78448,0.894,25.367
23.600,-0.57180,0.78476,0.927,25.427
23.650,-0.56951,0.78595,0.940,25.509
23.700,-0.56839,0.78783,0.913,25.575
23.750,-0.56828,0.78658,0.948,25.553
23.800,-0.56613,0.78889,0.929,25.654
23.850,-0.56454,0.79031,0.923,25.723
23.900,-0.56275,0.79106,0.938,25.785
23.950,-0.56203,0.79275,0.907,25.836
24.000,-0.56051,0.79302,0.929,25.881
24.050,-0.55919,0.79466,0.911,25.948
24.100,-0.55797,0.79447,0.940,25.976
24.150,-0.55730,0.79445,0.953,25.994
24.200,-0.55549,0.79604,0.946,26.072
24.250,-0.55270,0.79852,0.933,26.194
24.300,-0.55216,0.79957,0.915,26.228
24.350,-0.54996,0.80070,0.927,26.309
24.400,-0.55033,0.79935,0.956,26.273
24.450,-0.54943,0.80156,0.914,26.339
24.500,-0.54674,0.80264,0.936,26.432
24.550,-0.54655,0.80347,0.917,26.453
24.600,-0.54329,0.80504,0.936,26.570
24.650,-0.54204,0.80364,0.998,26.578
24.700,-0.54153,0.80589,0.947,26.634
24.750,-0.53963,0.80853,0.911,26.735
24.800,-0.53776,0.80832,0.951,26.782
24.850,-0.53804,0.80947,0.915,26.796
24.900,-0.53588,0.80777,1.002,26.824
24.950,-0.53384,0.80864,1.016,26.896
25.000,-0.53307,0.81158,0.950,26.972
25.050,-0.53126,0.81136,0.990,27.018
25.100,-0.53018,0.81361,0.948,27.090
25.150,-0.52894,0.81453,0.946,27.141
25.200,-0.52840,0.81501,0.943,27.165
25.250,-0.52577,0.81677,0.942,27.270
25.300,-0.52574,0.81709,0.934,27.277
25.350,-0.52163,0.81871,0.965,27.422
25.400,-0.52118,0.81772,1.001,27.416
25.450,-0.51939,0.81820,1.020,27.475
25.500,-0.51913,0.81955,0.987,27.507
25.550,-0.51705,0.82169,0.966,27.605
25.600,-0.51590,0.82245,0.965,27.651
25.650,-0.51414,0.82349,0.968,27.720
25.700,-0.51369,0.82388,0.965,27.740
25.750,-0.51293,0.82499,0.948,27.782
25.800,-0.51100,0.82572,0.962,27.850
25.850,-0.50789,0.82671,0.991,27.956
25.900,-0.50715,0.82673,1.004,27.978
25.950,-0.50618,0.82768,0.994,28.023
26.000,-0.50489,0.82862,0.991,28.077
26.050,-0.50457,0.82954,0.970,28.102
26.100,-0.50344,0.83047,0.964,28.151
26.150,-0.49944,0.83128,1.013,28.281
26.200,-0.49894,0.83061,1.041,28.283
26.250,-0.49838,0.83293,0.984,28.341
26.300,-0.49654,0.83486,0.961,28.429
26.350,-0.49504,0.83529,0.976,28.480
26.400,-0.49379,0.83333,1.055,28.482
26.450,-0.49232,0.83682,0.980,28.587
26.500,-0.49037,0.83718,1.004,28.650
26.550,-0.48940,0.83717,1.021,28.678
26.600,-0.48766,0.83673,1.065,28.722
26.650,-0.48702,0.84050,0.966,28.807
26.700,-0.48462,0.84066,1.004,28.880
26.750,-0.48353,0.84105,1.011,28.920
26.800,-0.48183,0.84064,1.054,28.963
26.850,-0.48021,0.84253,1.026,29.044
26.900,-0.47886,0.84541,0.965,29.135
26.950,-0.47876,0.84497,0.979,29.130
27.000,-0.47537,0.84470,1.047,29.226
27.050,-0.47552,0.84492,1.037,29.225
27.100,-0.47417,0.84610,1.026,29.286
27.150,-0.47175,0.84824,1.004,29.396
27.200,-0.47037,0.84818,1.030,29.436
27.250,-0.46783,0.84997,1.020,29.544
27.300,-0.46854,0.84794,1.069,29.487
27.350,-0.46780,0.85099,0.990,29.563
27.400,-0.46575,0.84988,1.059,29.605
27.450,-0.46335,0.85017,1.091,29.683
27.500,-0.46294,0.85343,1.000,29.751
27.550,-0.46206,0.85254,1.042,29.763
27.600,-0.45862,0.85554,1.009,29.919
27.650,-0.45775,0.85489,1.044,29.935
27.700,-0.45676,0.85573,1.035,29.979
27.750,-0.45495,0.85593,1.060,30.038
27.800,-0.45381,0.85541,1.095,30.064
27.850,-0.45316,0.85811,1.023,30.130
27.900,-0.45050,0.85893,1.043,30.226
