Freq (MHz),re(S11),im(S11),re(Z),im(Z)
17.350,0.73422,-0.46741,41.931,-161.673
17.400,0.73260,-0.46769,42.133,-161.140
17.450,0.73205,-0.46950,41.693,-160.662
17.500,0.73109,-0.47233,41.031,-159.892
17.550,0.72945,-0.47388,40.863,-159.148
17.600,0.72801,-0.47542,40.662,-158.471
17.650,0.72746,-0.47757,40.139,-157.952
17.700,0.72576,-0.47890,40.046,-157.246
17.750,0.72507,-0.48037,39.746,-156.807
17.800,0.72416,-0.48277,39.225,-156.158
17.850,0.72330,-0.48284,39.345,-155.907
17.900,0.72213,-0.48567,38.752,-155.122
17.950,0.72065,-0.48571,38.978,-154.709
18.000,0.71916,-0.48930,38.235,-153.731
18.050,0.71799,-0.49087,37.995,-153.167
18.100,0.71658,-0.49244,37.794,-152.542
18.150,0.71609,-0.49414,37.417,-152.148
18.200,0.71483,-0.49526,37.315,-151.639
18.250,0.71419,-0.49733,36.867,-151.152
18.300,0.71212,-0.49815,36.964,-150.485
18.350,0.71093,-0.50088,36.435,-149.766
18.400,0.70886,-0.50299,36.198,-148.919
18.450,0.70837,-0.50476,35.816,-148.531
18.500,0.70671,-0.50553,35.862,-147.997
18.550,0.70566,-0.50751,35.515,-147.446
18.600,0.70394,-0.50911,35.358,-146.784
18.650,0.70381,-0.51149,34.783,-146.413
18.700,0.70255,-0.51325,34.527,-145.851
18.750,0.70103,-0.51446,34.441,-145.306
18.800,0.69929,-0.51565,34.391,-144.715
18.850,0.69844,-0.51773,34.003,-144.221
18.900,0.69713,-0.51958,33.736,-143.651
18.950,0.69597,-0.52173,33.378,-143.083
19.000,0.69531,-0.52256,33.270,-142.812
19.050,0.69328,-0.52484,33.003,-142.027
19.100,0.69216,-0.52599,32.878,-141.612
19.150,0.69017,-0.52736,32.820,-140.966
19.200,0.69062,-0.52966,32.226,-140.770
19.250,0.68819,-0.53009,32.442,-140.154
19.300,0.68724,-0.53320,31.847,-139.537
19.350,0.68605,-0.53430,31.749,-139.127
19.400,0.68406,-0.53560,31.704,-138.511
19.450,0.68329,-0.53767,31.333,-138.078
19.500,0.68171,-0.53938,31.146,-137.513
19.550,0.68116,-0.54106,30.841,-137.184
19.600,0.67855,-0.54194,30.963,-136.497
19.650,0.67772,-0.54281,30.873,-136.211
19.700,0.67643,-0.54579,30.374,-135.572
19.750,0.67520,-0.54788,30.066,-135.055
19.800,0.67342,-0.54871,30.095,-134.574
19.850,0.67269,-0.55119,29.649,-134.129
19.900,0.67133,-0.55301,29.417,-133.628
19.950,0.66855,-0.55312,29.714,-133.025
20.000,0.66858,-0.55553,29.202,-132.758
20.050,0.66798,-0.55643,29.080,-132.529
20.100,0.66489,-0.55902,28.885,-131.595
20.150,0.66444,-0.56017,28.697,-131.376
20.200,0.66359,-0.56184,28.447,-131.015
20.250,0.66152,-0.56307,28.421,-130.455
20.300,0.66065,-0.56437,28.250,-130.137
20.350,0.65866,-0.56551,28.233,-129.610
20.400,0.65679,-0.56772,27.986,-128.998
20.450,0.65673,-0.56994,27.547,-128.751
20.500,0.65456,-0.57197,27.370,-128.108
20.550,0.65328,-0.57293,27.314,-127.754
20.600,0.65160,-0.57385,27.304,-127.329
20.650,0.65013,-0.57548,27.135,-126.874
20.700,0.64882,-0.57712,26.946,-126.451
20.750,0.64737,-0.57925,26.680,-125.956
20.800,0.64572,-0.58032,26.636,-125.533
20.850,0.64414,-0.58295,26.288,-124.971
20.900,0.64351,-0.58396,26.157,-124.752
20.950,0.64132,-0.58526,26.123,-124.212
21.000,0.63970,-0.58596,26.148,-123.838
21.050,0.63844,-0.58779,25.922,-123.427
21.100,0.63655,-0.58980,25.725,-122.884
21.150,0.63600,-0.59172,25.420,-122.603
