Freq (MHz),re(S11),im(S11),re(Z),im(Z)
13.300,0.64436,0.71683,5.540,111.947
13.350,0.64641,0.71351,5.761,112.519
13.400,0.64921,0.71227,5.647,112.990
13.450,0.65080,0.71086,5.671,113.327
13.500,0.65334,0.70870,5.695,113.861
13.550,0.65521,0.70597,5.856,114.369
13.600,0.65716,0.70518,5.762,114.697
13.650,0.65975,0.70231,5.870,115.320
13.700,0.66201,0.70063,5.855,115.783
13.750,0.66420,0.69844,5.913,116.295
13.800,0.66599,0.69628,6.008,116.753
13.850,0.66758,0.69492,6.018,117.104
13.900,0.67046,0.69183,6.118,117.814
13.950,0.67148,0.68999,6.252,118.147
14.000,0.67422,0.68812,6.203,118.715
14.050,0.67672,0.68589,6.227,119.294
14.100,0.67813,0.68443,6.267,119.646
14.150,0.68113,0.68163,6.307,120.366
14.200,0.68169,0.68031,6.423,120.591
14.250,0.68369,0.67797,6.514,121.133
14.300,0.68646,0.67657,6.386,121.673
14.350,0.68821,0.67458,6.456,122.147
14.400,0.68969,0.67256,6.560,122.589
14.450,0.69087,0.67045,6.714,123.004
14.500,0.69269,0.66861,6.754,123.479
14.550,0.69513,0.66666,6.733,124.058
14.600,0.69710,0.66380,6.895,124.686
14.650,0.69976,0.66257,6.741,125.216
14.700,0.70012,0.65968,7.109,125.628
14.750,0.70316,0.65924,6.788,126.119
14.800,0.70491,0.65645,6.967,126.726
14.850,0.70622,0.65474,7.045,127.137
14.900,0.70864,0.65304,6.979,127.709
14.950,0.70994,0.65075,7.142,128.198
15.000,0.71214,0.64856,7.172,128.812
15.050,0.71423,0.64734,7.073,129.284
15.100,0.71517,0.64491,7.304,129.751
15.150,0.71721,0.64314,7.291,130.296
15.200,0.71716,0.64077,7.654,130.614
15.250,0.71960,0.64058,7.346,131.006
15.300,0.72153,0.63793,7.476,131.667
15.350,0.72276,0.63491,7.761,132.281
15.400,0.72356,0.63453,7.706,132.457
15.450,0.72675,0.63217,7.611,133.283
15.500,0.72860,0.63093,7.534,133.748
15.550,0.72949,0.62825,7.816,134.278
15.600,0.73248,0.62679,7.601,134.958
15.650,0.73329,0.62386,7.937,135.523
15.700,0.73449,0.62264,7.948,135.895
15.750,0.73558,0.62067,8.096,136.367
15.800,0.73733,0.61966,7.987,136.798
15.850,0.73846,0.61701,8.236,137.386
15.900,0.74117,0.61507,8.125,138.124
15.950,0.74190,0.61338,8.281,138.508
16.000,0.74311,0.61187,8.335,138.943
16.050,0.74469,0.61007,8.374,139.485
16.100,0.74626,0.60824,8.419,140.038
16.150,0.74785,0.60663,8.424,140.560
16.200,0.74956,0.60536,8.354,141.049
16.250,0.74979,0.60200,8.871,141.644
16.300,0.75236,0.60055,8.684,142.315
16.350,0.75236,0.59909,8.931,142.561
16.400,0.75529,0.59775,8.657,143.280
16.450,0.75660,0.59555,8.803,143.881
16.500,0.75633,0.59319,9.251,144.240
16.550,0.75748,0.59257,9.157,144.545
16.600,0.76079,0.59058,8.918,145.462
16.650,0.76199,0.58913,8.955,145.925
16.700,0.76247,0.58666,9.295,146.448
16.750,0.76472,0.58553,9.087,147.043
16.800,0.76492,0.58354,9.397,147.439
16.850,0.76626,0.58184,9.451,147.986
16.900,0.76746,0.57972,9.602,148.589
16.950,0.77009,0.57857,9.315,149.269
17.000,0.77040,0.57672,9.586,149.671
17.050,0.77213,0.57446,9.664,150.410
17.100,0.77240,0.57246,9.972,150.841
17.150,0.77392,0.57108,9.929,151.382
17.200,0.77534,0.57011,9.830,151.829
17.250,0.77715,0.56835,9.797,152.503
17.300,0.77796,0.56650,9.975,153.015
17.350,0.77925,0.56526,9.946,153.499
17.400,0.77963,0.56266,10.352,154.091
17.450,0.78153,0.56099,10.279,154.782
17.500,0.78313,0.55957,10.217,155.372
17.550,0.78412,0.55813,10.283,155.852
17.600,0.78498,0.55614,10.481,156.428
17.650,0.78515,0.55477,10.703,156.744
17.700,0.78726,0.55338,10.524,157.439
